Sicista tianshanica	ティエンシャンオナガネズミ
Rhizomys pruinosus	シラガタケネズミ
Eliomys quercinus	メガネヤマネ
Sciurus griseus	セイブハイイロリス
Octodon lunatus	ペルーデグー
Spermophilus brunneus	アイダホジリス
Lemniscomys barbarus	シマクサマウス
Apodemus flavicollis	キクビアカネズミ
Dryomys nitedula	モリヤマネ
Glirulus japonicus	ニホンヤマネ（ヤマネ）
Sciurus vulgaris	キタリス（エゾリス）
Sciurus lis	ニホンリス
Pteromys volans	タイリクモモンガ （タイリクモモンガ）
Petaurista leucogenys	ホオジロムササビ（ムササビ）
Petaurista petaurista	オオアカムササビ
Ctenomys talarum	ツカツコツコ
Calomys callosus	ブラジルヨルマウス
Calomys laucha	ヨルマウス
Calomys musculinus	アルゼンチンヨルマウス
Reithrodontomys fulvescens	キイロカヤマウス
Sigmodon ochrognathus	キバナコトンラット
Oryzomys albigularis	ノドジロコメネズミ
Neotoma lepida	サバクウッドラット
Bolomys lactens	アルゼンチンノロマウス
Baiomys taylori	キタコビトマウス
Eligmodontia typus	コウゲンスナマウス
Nelsonia neotomodon	ネルソンヒメウッドラット
Nyctomys sumichrasti	ヨルネズミ
Ochrotomys nuttalli	キンイロマウス
Oxymycterus rufus	アカモグリマウス
Phyllotis darwini	ダーウィンオオミミマウス
Scotinomys teguina	オアハカチャイロマウス
Mystromys albicaudatus	オジロハムスターモドキ
Phenacomys intermedius	ヒースキノボリヤチネズミ
Peromyscus boylii	ボイリーシロアシマウス
Peromyscus mexicanus	メキシコシロアシマウス
Habromys lophurus	フサオヤワゲマウス
Isthmomys pirrensis	ヒガシパナマシカマウス
Podomys floridanus	フロリダネズミ
Peromyscus aztecus	アステカシロアシマスス
Peromyscus spicilegus	ウスグロシロアシマウス
Peromyscus winkelmanni	ミチョアカンシロアシマウス
Auliscomys sublimis	ドロイワオオミミマウス
Phyllotis amicus	ペルーオオミミマウス
Phyllotis andium	アンデスオオミミマウス
Phyllotis magister	オサオオミミマウス
Phyllotis osilae	オシルオオミミマウス
Phyllotis wolffsohni	ウォルフゾンオオミミマウス
Phyllotis xanthopygus	オオミミマウス属
Acomys russatus	キンイロトゲマウス
Acomys spinosissimus	アフリカトゲマウス
Arvicanthis abyssinicus	サバンナネズミ
Arvicanthis dembeensis	フグリサバンナネズミ
Arvicanthis niloticus	ナイルサバンナネズミ
Arvicanthis somalicus	ソマリサバンナネズミ
Lemniscomys bellieri	ベリエルクサマウス
Macrotarsomys ingens	オオアシナガマウス
Apodemus argenteus	ヒメネズミ
Ctenomys conoveri	チャコツコツコ
Ctenomys frater	フフイツコツコ
Ctenomys leucodon	シロツコツコ
Ctenomys lewisi	ミズベツコツコ
Ctenomys mendocinus	ヒガシツコツコ
Ctenomys opimus	ナキツコツコ
Ctenomys steinbachi	シュタインバハツコツコ
Spalacopus cyanus	コルロネズミ
Ctenomys argentinus	アルゼンチンツコツコ
Ctenomys nattereri	マトグロッソツコツコ
Callosciurus caniceps	タイワンリス （ハイガシラリス）
Callosciurus notatus	バナナリス
Tamias amoenus	キマツシマリス
Tamias sibiricus	シマリス
Funambulus pennanti	キタシマヤシリス
Pteromys momonga	ニホンモモンガ
Glaucomys volans	アメリカモモンガ
Microtus oeconomus	ツンドラハタネズミ
Leopoldamys sabanus	オナガコミミネズミ
Rattus losea	コキバラネズミ
Bandicota bengalensis	コオニネズミ
Maxomys surifer	アカスンダトゲネズミ
Niviventer cremoriventer	オグロクリゲネズミ
Maxomys whiteheadi	ホワイトヘッドスンダトゲネズミ
Microtus cabrerae	イベリアハタネズミ
Beamys hindei	ケニアホオブクロネズミ
Rattus everetti	エベレットクマネズミ
Myopus schisticolor	モリレミング
Hybomys univittatus	ヒトスジマウス
Dasymys incomtus	アフリカヌマネズミ
Marmota caudata	オナガマーモット
Tokudaia osimensis	アマミトゲネズミ
Allactaga elater	ヒメイツユビトビネズミ
Dipus sagitta	キタミユビトビネズミ
Spermophilus lateralis	キンイロジリス
Microtus montebelli	ハタネズミ（ニホンハタネズミ）
Microtus mexicanus	メキシコハタネズミ
Holochilus brasiliensis	ブラジルヌマコトンラット
Lemmus lemmus	ノルウェーレミング
Clethrionomys rutilus	ヒメヤチネズミ
Acomys subspinosus	スーダントゲマウス
Leggadina forresti	ツカマウス
Leggadina lakedownensis	クイーンズランドツカマウス
Eothenomys smithii	スミスネズミ
Clethrionomys rex	リシリムクゲネズミ
Eothenomys andersoni	トウホクヤチネズミ
Eothenomys imaizumii	ワカヤマヤチネズミ
Eothenomys melanogaster	ビロードネズミ
Acomys minous	クレタトゲマウス
Acomys cilicicus	トルコトゲマウス
Rattus argentiventer	コメクマネズミ
Rattus baluensis	タカネクマネズミ
Rattus tiomanicus	マレーシアクマネズミ
Leopoldamys edwardsi	エドワーズコミミネズミ
Niviventer niviventer	ニイタカネズミ
Berylmys bowersi	バウアーシロハネズミ
Sundamys muelleri	ミュラークマネズミ
Mus famulus	テジナハツカネズミ
Niviventer fulvescens	ヒマラヤクリゲネズミ
Lagidium viscacia	チリヤマビスカーチャ
Sciurus aestuans	ブラジルリス
Lemmus sibiricus	シベリアレミング
Lemmus trimucronatus	カナダレミング
Dicrostonyx torquatus	クビワレミング
Dicrostonyx groenlandicus	アメリカクビワレミング
Ctenomys flamarioni	フラマリオンツコツコ
Ctenomys torquatus	トンネルツコツコ
Microtus montanus	サンガクハタネズミ
Arvicola sapidus	イベリアミズハタネズミ
Petaurista alborufus	カオジロムササビ
Holochilus sciureus	キタヌマコトンラット
Oxymycterus iheringi	イェーリングモグリマウス
Peromyscus truei	マツシロアシマウス
Reithrodontomys sumichrasti	スミクラストカヤマウス
Rhipidomys macconnelli	マコーネルヒメキノボリネズミ
Rhipidomys mastacalis	ヒゲヒメキノボリネズミ
Scotinomys xerampelinus	チャイロマウス
Thomasomys daphne	ダフネパラモネズミ
Thomasomys gracilis	ヒメパラモネズミ
Thomasomys ischyurus	チャンピオンパラモネズミ
Thomasomys notatus	ペルーパラモネズミ
Thomasomys oreas	アンデスパラモネズミ
Blarinomys breviceps	ブラリナマウス
Chilomys instans	コロンビアモリマウス
Kunsia tomentosus	ボリビアオオリオネズミ
Auliscomys micropus	コアシイワオオミミマウス
Nesoryzomys fernandinae	フェルナンディナコメネズミ
